Match_No,Season,Team_1,Team_2,Winner,Win_Type,Win_Margin,Result_Type,Date,Venue
9,5,dcg,mi,mi,wickets,5.0,normal,2012-04-09,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
11,5,dc,csk,dc,wickets,8.0,normal,2012-04-10,Feroz Shah Kotla
10,5,rcb,kkr,kkr,runs,42.0,normal,2012-04-10,M Chinnaswamy Stadium
12,5,mi,rr,mi,runs,27.0,normal,2012-04-11,Wankhede Stadium
13,5,csk,rcb,csk,wickets,5.0,normal,2012-04-12,"MA Chidambaram Stadium, Chepauk"
14,5,pk,pw,pk,wickets,7.0,normal,2012-04-12,"Punjab Cricket Association Stadium, Mohali"
15,5,kkr,rr,kkr,wickets,5.0,normal,2012-04-13,Eden Gardens
16,5,pw,csk,pw,wickets,7.0,normal,2012-04-14,Subrata Roy Sahara Stadium
17,5,kkr,pk,pk,runs,2.0,normal,2012-04-15,Eden Gardens
18,5,rcb,rr,rr,runs,59.0,normal,2012-04-15,M Chinnaswamy Stadium
19,5,mi,dc,dc,wickets,7.0,normal,2012-04-16,Wankhede Stadium
20,5,rr,dcg,rr,wickets,5.0,normal,2012-04-17,Sawai Mansingh Stadium
21,5,rcb,pw,rcb,wickets,6.0,normal,2012-04-17,M Chinnaswamy Stadium
22,5,pk,kkr,kkr,wickets,8.0,normal,2012-04-18,"Punjab Cricket Association Stadium, Mohali"
24,5,csk,pw,csk,runs,13.0,normal,2012-04-19,"MA Chidambaram Stadium, Chepauk"
23,5,dc,dcg,dc,wickets,5.0,normal,2012-04-19,Feroz Shah Kotla
25,5,pk,rcb,rcb,wickets,5.0,normal,2012-04-20,"Punjab Cricket Association Stadium, Mohali"
26,5,csk,rr,csk,wickets,7.0,normal,2012-04-21,"MA Chidambaram Stadium, Chepauk"
27,5,dc,pw,pw,runs,20.0,normal,2012-04-21,Feroz Shah Kotla
28,5,mi,pk,pk,wickets,6.0,normal,2012-04-22,Wankhede Stadium
29,5,dcg,kkr,kkr,wickets,5.0,normal,2012-04-22,Barabati Stadium
30,5,rr,rcb,rcb,runs,46.0,normal,2012-04-23,Sawai Mansingh Stadium
31,5,pw,dc,dc,wickets,8.0,normal,2012-04-24,Subrata Roy Sahara Stadium
33,5,pk,mi,mi,wickets,4.0,normal,2012-04-25,"Punjab Cricket Association Stadium, Mohali"
35,5,pw,dcg,dcg,runs,18.0,normal,2012-04-26,Subrata Roy Sahara Stadium
36,5,dc,mi,dc,runs,37.0,normal,2012-04-27,Feroz Shah Kotla
37,5,csk,pk,pk,runs,7.0,normal,2012-04-28,"MA Chidambaram Stadium, Chepauk"
38,5,kkr,rcb,kkr,runs,47.0,normal,2012-04-28,Eden Gardens
39,5,dc,rr,dc,runs,1.0,normal,2012-04-29,Feroz Shah Kotla
40,5,mi,dcg,mi,wickets,5.0,normal,2012-04-29,Wankhede Stadium
41,5,csk,kkr,kkr,wickets,5.0,normal,2012-04-30,"MA Chidambaram Stadium, Chepauk"
42,5,dcg,pw,dcg,runs,13.0,normal,2012-05-01,Barabati Stadium
43,5,rr,dc,dc,wickets,6.0,normal,2012-05-01,Sawai Mansingh Stadium
44,5,rcb,pk,pk,wickets,4.0,normal,2012-05-02,M Chinnaswamy Stadium
45,5,pw,mi,mi,runs,1.0,normal,2012-05-03,Subrata Roy Sahara Stadium
46,5,csk,dcg,csk,runs,10.0,normal,2012-05-04,"MA Chidambaram Stadium, Chepauk"
47,5,kkr,pw,kkr,runs,7.0,normal,2012-05-05,Eden Gardens
48,5,pk,rr,rr,runs,43.0,normal,2012-05-05,"Punjab Cricket Association Stadium, Mohali"
49,5,mi,csk,mi,wickets,2.0,normal,2012-05-06,Wankhede Stadium
50,5,rcb,dcg,rcb,wickets,5.0,normal,2012-05-06,M Chinnaswamy Stadium
51,5,dc,kkr,kkr,wickets,6.0,normal,2012-05-07,Feroz Shah Kotla
53,5,dcg,pk,pk,runs,25.0,normal,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
52,5,pw,rr,rr,wickets,7.0,normal,2012-05-08,Subrata Roy Sahara Stadium
54,5,mi,rcb,rcb,wickets,9.0,normal,2012-05-09,Wankhede Stadium
56,5,rr,csk,csk,wickets,4.0,normal,2012-05-10,Sawai Mansingh Stadium
55,5,dcg,dc,dc,wickets,9.0,normal,2012-05-10,"Rajiv Gandhi International Stadium, Uppal"
57,5,pw,rcb,rcb,runs,35.0,normal,2012-05-11,Subrata Roy Sahara Stadium
58,5,kkr,mi,mi,runs,27.0,normal,2012-05-12,Eden Gardens
59,5,csk,dc,csk,wickets,9.0,normal,2012-05-12,"MA Chidambaram Stadium, Chepauk"
60,5,rr,pw,rr,runs,45.0,normal,2012-05-13,Sawai Mansingh Stadium
61,5,pk,dcg,pk,wickets,4.0,normal,2012-05-13,"Punjab Cricket Association Stadium, Mohali"
62,5,rcb,mi,mi,wickets,5.0,normal,2012-05-14,M Chinnaswamy Stadium
63,5,kkr,csk,csk,wickets,5.0,normal,2012-05-14,Eden Gardens
64,5,dc,pk,dc,wickets,5.0,normal,2012-05-15,Feroz Shah Kotla
65,5,mi,kkr,kkr,runs,32.0,normal,2012-05-16,Wankhede Stadium
67,5,dc,rcb,rcb,runs,21.0,normal,2012-05-17,Feroz Shah Kotla
66,5,pk,csk,pk,wickets,6.0,normal,2012-05-17,Himachal Pradesh Cricket Association Stadium
68,5,dcg,rr,dcg,wickets,5.0,normal,2012-05-18,"Rajiv Gandhi International Stadium, Uppal"
69,5,pk,dc,dc,wickets,6.0,normal,2012-05-19,Himachal Pradesh Cricket Association Stadium
70,5,pw,kkr,kkr,runs,34.0,normal,2012-05-19,Subrata Roy Sahara Stadium
72,5,rr,mi,mi,wickets,10.0,normal,2012-05-20,Sawai Mansingh Stadium
71,5,dcg,rcb,dcg,runs,9.0,normal,2012-05-20,"Rajiv Gandhi International Stadium, Uppal"
Qualifier 1,5,dc,kkr,kkr,runs,18.0,normal,2012-05-22,Subrata Roy Sahara Stadium
Elimination Final,5,csk,mi,csk,runs,38.0,normal,2012-05-23,M Chinnaswamy Stadium
Qualifier 2,5,dc,csk,csk,runs,86.0,normal,2012-05-25,"MA Chidambaram Stadium, Chepauk"
Final,5,kkr,csk,kkr,wickets,5.0,normal,2012-05-27,"MA Chidambaram Stadium, Chepauk"
1,6,kkr,dc,kkr,wickets,6.0,normal,2013-04-03,Eden Gardens
2,6,rcb,mi,rcb,runs,2.0,normal,2013-04-04,M Chinnaswamy Stadium
3,6,srh,pw,srh,runs,22.0,normal,2013-04-05,"Rajiv Gandhi International Stadium, Uppal"
4,6,dc,rr,rr,runs,5.0,normal,2013-04-06,Feroz Shah Kotla
5,6,csk,mi,mi,runs,9.0,normal,2013-04-06,"MA Chidambaram Stadium, Chepauk"
6,6,pw,pk,pk,wickets,8.0,normal,2013-04-07,Subrata Roy Sahara Stadium
7,6,srh,rcb,,,,tie,2013-04-07,"Rajiv Gandhi International Stadium, Uppal"
8,6,rr,kkr,rr,runs,19.0,normal,2013-04-08,Sawai Mansingh Stadium
9,6,rcb,srh,rcb,wickets,7.0,normal,2013-04-09,M Chinnaswamy Stadium
10,6,mi,dc,mi,runs,44.0,normal,2013-04-09,Wankhede Stadium
11,6,pk,csk,csk,wickets,10.0,normal,2013-04-10,"Punjab Cricket Association Stadium, Mohali"
12,6,rcb,kkr,rcb,wickets,8.0,normal,2013-04-11,M Chinnaswamy Stadium
13,6,pw,rr,pw,wickets,7.0,normal,2013-04-11,Subrata Roy Sahara Stadium
14,6,dc,srh,srh,wickets,3.0,normal,2013-04-12,Feroz Shah Kotla
16,6,csk,rcb,csk,wickets,4.0,normal,2013-04-13,"MA Chidambaram Stadium, Chepauk"
15,6,mi,pw,mi,runs,41.0,normal,2013-04-13,Wankhede Stadium
17,6,kkr,srh,kkr,runs,48.0,normal,2013-04-14,Eden Gardens
18,6,rr,pk,rr,wickets,6.0,normal,2013-04-14,Sawai Mansingh Stadium
19,6,csk,pw,pw,runs,24.0,normal,2013-04-15,"MA Chidambaram Stadium, Chepauk"
20,6,pk,kkr,pk,runs,4.0,normal,2013-04-16,"Punjab Cricket Association Stadium, Mohali"
21,6,rcb,dc,,,,tie,2013-04-16,M Chinnaswamy Stadium
22,6,pw,srh,srh,runs,11.0,normal,2013-04-17,Maharashtra Cricket Association Stadium
23,6,rr,mi,rr,runs,87.0,normal,2013-04-17,Sawai Mansingh Stadium
24,6,dc,csk,csk,runs,86.0,normal,2013-04-18,Feroz Shah Kotla
25,6,srh,pk,srh,wickets,5.0,normal,2013-04-19,"Rajiv Gandhi International Stadium, Uppal"
26,6,kkr,csk,csk,wickets,4.0,normal,2013-04-20,Eden Gardens
27,6,rcb,rr,rcb,wickets,7.0,normal,2013-04-20,M Chinnaswamy Stadium
28,6,dc,mi,dc,wickets,9.0,normal,2013-04-21,Feroz Shah Kotla
29,6,pk,pw,pk,wickets,7.0,normal,2013-04-21,"Punjab Cricket Association Stadium, Mohali"
30,6,csk,rr,csk,wickets,5.0,normal,2013-04-22,"MA Chidambaram Stadium, Chepauk"
32,6,dc,pk,pk,wickets,5.0,normal,2013-04-23,Feroz Shah Kotla
31,6,rcb,pw,rcb,runs,130.0,normal,2013-04-23,M Chinnaswamy Stadium
33,6,kkr,mi,mi,wickets,5.0,normal,2013-04-24,Eden Gardens
34,6,csk,srh,csk,wickets,5.0,normal,2013-04-25,"MA Chidambaram Stadium, Chepauk"
35,6,kkr,pk,kkr,wickets,6.0,normal,2013-04-26,Eden Gardens
36,6,rr,srh,rr,wickets,8.0,normal,2013-04-27,Sawai Mansingh Stadium
37,6,mi,rcb,mi,runs,58.0,normal,2013-04-27,Wankhede Stadium
38,6,csk,kkr,csk,runs,14.0,normal,2013-04-28,"MA Chidambaram Stadium, Chepauk"
39,6,dc,pw,dc,runs,15.0,normal,2013-04-28,Shaheed Veer Narayan Singh International Stadium
40,6,rr,rcb,rr,wickets,4.0,normal,2013-04-29,Sawai Mansingh Stadium
41,6,mi,pk,mi,runs,4.0,normal,2013-04-29,Wankhede Stadium
42,6,pw,csk,csk,runs,37.0,normal,2013-04-30,Subrata Roy Sahara Stadium
43,6,srh,mi,srh,wickets,7.0,normal,2013-05-01,"Rajiv Gandhi International Stadium, Uppal"
44,6,dc,kkr,dc,wickets,7.0,normal,2013-05-01,Shaheed Veer Narayan Singh International Stadium
45,6,csk,pk,csk,runs,15.0,normal,2013-05-02,"MA Chidambaram Stadium, Chepauk"
46,6,pw,rcb,rcb,runs,17.0,normal,2013-05-02,Subrata Roy Sahara Stadium
47,6,kkr,rr,kkr,wickets,8.0,normal,2013-05-03,Eden Gardens
48,6,srh,dc,srh,wickets,6.0,normal,2013-05-04,"Rajiv Gandhi International Stadium, Uppal"
49,6,mi,csk,mi,runs,60.0,normal,2013-05-05,Wankhede Stadium
50,6,rr,pw,rr,wickets,5.0,normal,2013-05-05,Sawai Mansingh Stadium
51,6,pk,rcb,pk,wickets,6.0,normal,2013-05-06,"Punjab Cricket Association Stadium, Mohali"
52,6,rr,dc,rr,wickets,9.0,normal,2013-05-07,Sawai Mansingh Stadium
53,6,mi,kkr,mi,runs,65.0,normal,2013-05-07,Wankhede Stadium
54,6,srh,csk,csk,runs,77.0,normal,2013-05-08,"Rajiv Gandhi International Stadium, Uppal"
55,6,pk,rr,rr,wickets,8.0,normal,2013-05-09,"Punjab Cricket Association Stadium, Mohali"
56,6,pw,kkr,kkr,runs,46.0,normal,2013-05-09,Subrata Roy Sahara Stadium
57,6,dc,rcb,rcb,runs,4.0,normal,2013-05-10,Feroz Shah Kotla
58,6,pw,mi,mi,wickets,5.0,normal,2013-05-11,Subrata Roy Sahara Stadium
59,6,pk,srh,srh,runs,30.0,normal,2013-05-11,"Punjab Cricket Association Stadium, Mohali"
60,6,kkr,rcb,kkr,wickets,5.0,normal,2013-05-12,JSCA International Stadium Complex
61,6,rr,csk,rr,wickets,5.0,normal,2013-05-12,Sawai Mansingh Stadium
62,6,mi,srh,mi,wickets,7.0,normal,2013-05-13,Wankhede Stadium
63,6,rcb,pk,pk,wickets,7.0,normal,2013-05-14,M Chinnaswamy Stadium
64,6,csk,dc,csk,runs,33.0,normal,2013-05-14,"MA Chidambaram Stadium, Chepauk"
66,6,mi,rr,mi,runs,14.0,normal,2013-05-15,Wankhede Stadium
65,6,kkr,pw,pw,runs,7.0,normal,2013-05-15,JSCA International Stadium Complex
67,6,pk,dc,pk,runs,7.0,normal,2013-05-16,Himachal Pradesh Cricket Association Stadium
68,6,srh,rr,srh,runs,23.0,normal,2013-05-17,"Rajiv Gandhi International Stadium, Uppal"
69,6,pk,mi,pk,runs,50.0,normal,2013-05-18,Himachal Pradesh Cricket Association Stadium
70,6,rcb,csk,rcb,runs,24.0,normal,2013-05-18,M Chinnaswamy Stadium
71,6,pw,dc,pw,runs,38.0,normal,2013-05-19,Subrata Roy Sahara Stadium
72,6,srh,kkr,srh,wickets,5.0,normal,2013-05-19,"Rajiv Gandhi International Stadium, Uppal"
Qualifier 1,6,csk,mi,csk,runs,48.0,normal,2013-05-21,Feroz Shah Kotla
Eliminator,6,rr,srh,rr,wickets,4.0,normal,2013-05-22,Feroz Shah Kotla
Qualifier 2,6,mi,rr,mi,wickets,4.0,normal,2013-05-24,Eden Gardens
Final,6,csk,mi,mi,runs,23.0,normal,2013-05-26,Eden Gardens
1,7,mi,kkr,kkr,runs,41.0,normal,2014-04-16,Sheikh Zayed Stadium
2,7,dc,rcb,rcb,wickets,8.0,normal,2014-04-17,Sharjah Cricket Stadium
4,7,srh,rr,rr,wickets,4.0,normal,2014-04-18,Sheikh Zayed Stadium
3,7,csk,pk,pk,wickets,6.0,normal,2014-04-18,Sheikh Zayed Stadium
5,7,rcb,mi,rcb,wickets,7.0,normal,2014-04-19,Dubai International Cricket Stadium
6,7,kkr,dc,dc,wickets,4.0,normal,2014-04-19,Dubai International Cricket Stadium
7,7,rr,pk,pk,wickets,7.0,normal,2014-04-20,Sharjah Cricket Stadium
8,7,csk,dc,csk,runs,93.0,normal,2014-04-21,Sheikh Zayed Stadium
9,7,pk,srh,pk,runs,72.0,normal,2014-04-22,Sharjah Cricket Stadium
10,7,rr,csk,csk,runs,7.0,normal,2014-04-23,Dubai International Cricket Stadium
11,7,rcb,kkr,kkr,runs,2.0,normal,2014-04-24,Sharjah Cricket Stadium
12,7,srh,dc,srh,runs,4.0,normal,2014-04-25,Dubai International Cricket Stadium
13,7,csk,mi,csk,wickets,7.0,normal,2014-04-25,Dubai International Cricket Stadium
14,7,rr,rcb,rr,wickets,6.0,normal,2014-04-26,Sheikh Zayed Stadium
15,7,kkr,pk,pk,runs,23.0,normal,2014-04-26,Sheikh Zayed Stadium
16,7,dc,mi,dc,wickets,6.0,normal,2014-04-27,Sharjah Cricket Stadium
17,7,srh,csk,csk,wickets,5.0,normal,2014-04-27,Sharjah Cricket Stadium
18,7,pk,rcb,pk,wickets,5.0,normal,2014-04-28,Dubai International Cricket Stadium
19,7,kkr,rr,,,,tie,2014-04-29,Sheikh Zayed Stadium
20,7,mi,srh,srh,runs,15.0,normal,2014-04-30,Dubai International Cricket Stadium
21,7,csk,kkr,csk,runs,34.0,normal,2014-05-02,JSCA International Stadium Complex
23,7,dc,rr,rr,wickets,7.0,normal,2014-05-03,Feroz Shah Kotla
22,7,mi,pk,mi,wickets,5.0,normal,2014-05-03,Wankhede Stadium
24,7,rcb,srh,rcb,wickets,4.0,normal,2014-05-04,M Chinnaswamy Stadium
25,7,rr,kkr,rr,runs,10.0,normal,2014-05-05,"Sardar Patel Stadium, Motera"
26,7,dc,csk,csk,wickets,8.0,normal,2014-05-05,Feroz Shah Kotla
27,7,mi,rcb,mi,runs,19.0,normal,2014-05-06,Wankhede Stadium
28,7,dc,kkr,kkr,wickets,8.0,normal,2014-05-07,Feroz Shah Kotla
29,7,pk,csk,pk,runs,44.0,normal,2014-05-07,Barabati Stadium
30,7,rr,srh,srh,runs,32.0,normal,2014-05-08,"Sardar Patel Stadium, Motera"
31,7,rcb,pk,pk,runs,32.0,normal,2014-05-09,M Chinnaswamy Stadium
32,7,dc,srh,srh,wickets,8.0,normal,2014-05-10,Feroz Shah Kotla
33,7,mi,csk,csk,wickets,4.0,normal,2014-05-10,Wankhede Stadium
35,7,rcb,rr,rr,wickets,5.0,normal,2014-05-11,M Chinnaswamy Stadium
34,7,pk,kkr,kkr,wickets,9.0,normal,2014-05-11,Barabati Stadium
36,7,srh,mi,mi,wickets,7.0,normal,2014-05-12,"Rajiv Gandhi International Stadium, Uppal"
37,7,csk,rr,csk,wickets,5.0,normal,2014-05-13,JSCA International Stadium Complex
38,7,rcb,dc,rcb,runs,16.0,normal,2014-05-13,M Chinnaswamy Stadium
40,7,kkr,mi,kkr,wickets,6.0,normal,2014-05-14,Barabati Stadium
39,7,srh,pk,pk,wickets,6.0,normal,2014-05-14,"Rajiv Gandhi International Stadium, Uppal"
41,7,rr,dc,rr,runs,62.0,normal,2014-05-15,"Sardar Patel Stadium, Motera"
42,7,csk,rcb,rcb,wickets,5.0,normal,2014-05-18,JSCA International Stadium Complex
43,7,srh,kkr,kkr,wickets,7.0,normal,2014-05-18,"Rajiv Gandhi International Stadium, Uppal"
44,7,rr,mi,mi,runs,25.0,normal,2014-05-19,"Sardar Patel Stadium, Motera"
45,7,dc,pk,pk,wickets,4.0,normal,2014-05-19,Feroz Shah Kotla
46,7,srh,rcb,srh,wickets,7.0,normal,2014-05-20,"Rajiv Gandhi International Stadium, Uppal"
47,7,kkr,csk,kkr,wickets,8.0,normal,2014-05-20,Eden Gardens
48,7,pk,mi,mi,wickets,7.0,normal,2014-05-21,"Punjab Cricket Association Stadium, Mohali"
49,7,kkr,rcb,kkr,runs,30.0,normal,2014-05-22,Eden Gardens
50,7,csk,srh,srh,wickets,6.0,normal,2014-05-22,JSCA International Stadium Complex
51,7,mi,dc,mi,runs,15.0,normal,2014-05-23,Wankhede Stadium
52,7,pk,rr,pk,runs,16.0,normal,2014-05-23,"Punjab Cricket Association Stadium, Mohali"
53,7,rcb,csk,csk,wickets,8.0,normal,2014-05-24,M Chinnaswamy Stadium
54,7,kkr,srh,kkr,wickets,4.0,normal,2014-05-24,Eden Gardens
55,7,pk,dc,pk,wickets,7.0,normal,2014-05-25,"Punjab Cricket Association Stadium, Mohali"
56,7,mi,rr,mi,wickets,5.0,normal,2014-05-25,Wankhede Stadium
Qualifier 1,7,pk,kkr,kkr,runs,28.0,normal,2014-05-27,Eden Gardens
Eliminator,7,csk,mi,csk,wickets,7.0,normal,2014-05-28,Brabourne Stadium
Qualifier 2,7,csk,pk,pk,runs,24.0,normal,2014-05-30,Wankhede Stadium
Final,7,kkr,pk,kkr,wickets,3.0,normal,2014-06-01,M Chinnaswamy Stadium
1,8,kkr,mi,kkr,wickets,7.0,normal,2015-04-08,Eden Gardens
2,8,csk,dc,csk,runs,1.0,normal,2015-04-09,"MA Chidambaram Stadium, Chepauk"
3,8,pk,rr,rr,runs,26.0,normal,2015-04-10,Maharashtra Cricket Association Stadium
4,8,csk,srh,csk,runs,45.0,normal,2015-04-11,"MA Chidambaram Stadium, Chepauk"
5,8,kkr,rcb,rcb,wickets,3.0,normal,2015-04-11,Eden Gardens
6,8,dc,rr,rr,wickets,3.0,normal,2015-04-12,Feroz Shah Kotla
7,8,mi,pk,pk,runs,18.0,normal,2015-04-12,Wankhede Stadium
8,8,rcb,srh,srh,wickets,8.0,normal,2015-04-13,M Chinnaswamy Stadium
9,8,rr,mi,rr,wickets,7.0,normal,2015-04-14,"Sardar Patel Stadium, Motera"
10,8,pk,dc,dc,wickets,5.0,normal,2015-04-15,Maharashtra Cricket Association Stadium
11,8,srh,rr,rr,wickets,6.0,normal,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
12,8,mi,csk,csk,wickets,6.0,normal,2015-04-17,Wankhede Stadium
13,8,srh,dc,dc,runs,4.0,normal,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
14,8,pk,kkr,kkr,wickets,4.0,normal,2015-04-18,Maharashtra Cricket Association Stadium
15,8,rr,csk,rr,wickets,8.0,normal,2015-04-19,"Sardar Patel Stadium, Motera"
16,8,rcb,mi,mi,runs,18.0,normal,2015-04-19,M Chinnaswamy Stadium
17,8,dc,kkr,kkr,wickets,6.0,normal,2015-04-20,Feroz Shah Kotla
18,8,rr,pk,,,,tie,2015-04-21,"Sardar Patel Stadium, Motera"
19,8,srh,kkr,srh,runs,16.0,normal,2015-04-22,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
20,8,rcb,csk,csk,runs,27.0,normal,2015-04-22,M Chinnaswamy Stadium
21,8,dc,mi,dc,runs,37.0,normal,2015-04-23,Feroz Shah Kotla
22,8,rr,rcb,rcb,wickets,9.0,normal,2015-04-24,"Sardar Patel Stadium, Motera"
23,8,mi,srh,mi,runs,20.0,normal,2015-04-25,Wankhede Stadium
24,8,csk,pk,csk,runs,97.0,normal,2015-04-25,"MA Chidambaram Stadium, Chepauk"
26,8,dc,rcb,rcb,wickets,10.0,normal,2015-04-26,Feroz Shah Kotla
27,8,pk,srh,srh,runs,20.0,normal,2015-04-27,"Punjab Cricket Association Stadium, Mohali"
28,8,csk,kkr,csk,runs,2.0,normal,2015-04-28,"MA Chidambaram Stadium, Chepauk"
29,8,rcb,rr,,,,no result,2015-04-29,M Chinnaswamy Stadium
30,8,kkr,csk,kkr,wickets,7.0,normal,2015-04-30,Eden Gardens
32,8,mi,rr,mi,runs,8.0,normal,2015-05-01,Wankhede Stadium
31,8,dc,pk,dc,wickets,9.0,normal,2015-05-01,Feroz Shah Kotla
33,8,rcb,kkr,rcb,wickets,7.0,normal,2015-05-02,M Chinnaswamy Stadium
34,8,srh,csk,srh,runs,22.0,normal,2015-05-02,"Rajiv Gandhi International Stadium, Uppal"
35,8,pk,mi,mi,runs,23.0,normal,2015-05-03,"Punjab Cricket Association Stadium, Mohali"
36,8,rr,dc,rr,runs,14.0,normal,2015-05-03,Brabourne Stadium
37,8,csk,rcb,csk,runs,24.0,normal,2015-05-04,"MA Chidambaram Stadium, Chepauk"
38,8,kkr,srh,kkr,runs,35.0,normal,2015-05-04,Eden Gardens
39,8,mi,dc,mi,wickets,5.0,normal,2015-05-05,Wankhede Stadium
40,8,rcb,pk,rcb,runs,138.0,normal,2015-05-06,M Chinnaswamy Stadium
41,8,rr,srh,srh,runs,7.0,normal,2015-05-07,Brabourne Stadium
42,8,kkr,dc,kkr,runs,13.0,normal,2015-05-07,Eden Gardens
43,8,csk,mi,mi,wickets,6.0,normal,2015-05-08,"MA Chidambaram Stadium, Chepauk"
44,8,kkr,pk,kkr,wickets,1.0,normal,2015-05-09,Eden Gardens
45,8,dc,srh,srh,runs,6.0,normal,2015-05-09,Shaheed Veer Narayan Singh International Stadium
